val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_METEOR,val_ROUGE_L,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_METEOR,test_ROUGE_L,time,seed,best_model_from
0.0565972308607382,7,1.7531182136246148,0.234481201475219,0.1247045621842245,0.0798780169504361,0.0884258241027818,0.1852337988558269,0.2337987391444647,0.1199131800264235,0.0735864641578995,0.0496197646508178,0.0866359047435237,0.181475992799469,Mon Dec 11 09:29:19 2023,456789,val
0.0542733229083079,5,2.083609720374735,0.2747025419145447,0.1330704013893907,0.0799617243227591,0.1025656516993313,0.1883960663529787,0.2716523196259372,0.1319292803828068,0.0775681835507563,0.0512411693625575,0.1013688048114297,0.1870354825231361,Mon Dec 11 09:29:19 2023,456789,test
0.197166156301937,27,1.1079945886109184,0.4244391307699703,0.3090431639451085,0.2423957546204503,0.1894009203856905,0.3521960407473721,0.4009060380314914,0.2841284173800583,0.2190111372838425,0.1757862328608941,0.1764497575104328,0.3325274321503063,Tue Dec 12 02:29:17 2023,456789,val
0.1956206203837293,29,1.1047769019196128,0.4223476916255783,0.3068395870920382,0.240370792105686,0.188037515941433,0.3495742349462193,0.4022363551225975,0.2857704741917389,0.2207094570009163,0.1774982291927353,0.1768635030762715,0.3329119984088415,Tue Dec 12 02:29:17 2023,456789,test
0.197166156301937,27,1.1079945886109184,0.4244391307699703,0.3090431639451085,0.2423957546204503,0.1894009203856905,0.3521960407473721,0.4009060380314914,0.2841284173800583,0.2190111372838425,0.1757862328608941,0.1764497575104328,0.3325274321503063,Thu Dec 14 08:40:50 2023,456789,val
0.1956206203837293,29,1.1047769019196128,0.4223476916255783,0.3068395870920382,0.240370792105686,0.188037515941433,0.3495742349462193,0.4022363551225975,0.2857704741917389,0.2207094570009163,0.1774982291927353,0.1768635030762715,0.3329119984088415,Thu Dec 14 08:40:50 2023,456789,test
0.1967466234586174,18,1.295177956860481,0.4145136304254905,0.3040821823525579,0.2401606215777973,0.1848409133338149,0.3441992368421986,0.3954849584217644,0.2799873648163856,0.2155637175739691,0.1731946524426595,0.1732096183849676,0.3288924264799064,Thu Dec 14 08:44:11 2023,456789,val
0.1950044311610086,27,1.2332070106265025,0.4155292539255785,0.3035581604882437,0.2388234074072361,0.1845993109721334,0.343366983685113,0.400999707347253,0.2850393299412866,0.2202829241513563,0.1775110891707733,0.1749057616353648,0.3330149473643515,Thu Dec 14 08:44:11 2023,456789,test
0.060040199869837,16,1.5168610070874462,0.2506848723391778,0.1326437936760262,0.0848510073589915,0.096700257599535,0.1951658387127617,0.2404661725771694,0.1210259750038084,0.073255807196248,0.04899427349722,0.0909664810849335,0.1854744453757367,Thu Dec 14 09:03:42 2023,456789,val
0.056886542219987,13,1.6080467405647854,0.2433788827806373,0.1295074926676683,0.0815129348399083,0.0956655985940219,0.1884060460316854,0.2396699212123639,0.1241656921029956,0.0754315095535209,0.0512134924882707,0.0927961232350113,0.1847334676303497,Thu Dec 14 09:03:42 2023,456789,test
